match_id,period_id,timestamp,carrier_id,opponent_id,distance_m,approach_angle_deg,carrier_speed_mps,opponent_speed_mps,closing_speed_mps,second_nearest_dist_m,n_supporting_teammates,dist_to_sideline_m,dist_to_goal_line_m,distance_trend_1s_mps,closing_accel_mps2,opponent_heading_change_deg,third_nearest_dist_m,n_opponents_nearby_10m,seconds_since_prev_event,prev_event_was_pass,carrier_x,carrier_y,sync_error_suspect,label
J03WQQ,2,0:23:47.680000,DFL-OBJ-002GN4,DFL-OBJ-00008K,1.823869512876401,114.13556315971867,3.36,4.64,0.49626332184817046,6.819501448053221,2,27.0,101.53999999999999,-0.36987501495008557,2.8390309406814445,81.06216838862841,8.995509991101116,3,1.227,1,49.04,7.0,False,0
J03WQQ,2,0:23:47.960000,DFL-OBJ-J0157X,DFL-OBJ-00008K,0.45221676218380413,19.15042088610272,7.79,4.78,1.6610750095200428,7.752270635110724,2,24.98,101.50999999999999,1.377673944935066,0.3230238294952148,58.109208198153844,8.238476800962664,3,1.507,1,49.01,9.02,False,0
J03WQQ,2,0:24:52.200000,DFL-OBJ-0028HW,DFL-OBJ-J01KJ5,4.468064457905682,25.021077664742695,10.52,15.75,7.045302752704887,5.736139816984941,2,11.54,38.88,7.067359244759081,-0.6801384096334395,7.431133738150375,7.893541663917409,4,0.499,1,-13.62,-22.46,False,0
J03WQQ,2,0:24:54.480000,DFL-OBJ-0002EL,DFL-OBJ-J0130T,4.750168418066878,1.979902332050272,3.53,28.43,7.983157076138465,5.9846887972558775,0,1.5,49.72,7.761526111452295,0.6389651152592535,3.6564571497837814,11.023701737619717,2,1.827,1,-2.78,-32.5,False,0
J03WQQ,2,0:25:12,DFL-OBJ-002FZR,DFL-OBJ-0000F8,2.415988410568228,1.8210860692975783,7.16,8.43,0.22446230788829347,5.291927815078358,1,2.0,34.96,0.7341861877675528,-2.323418236591271,28.281875506780764,5.780311410296163,3,0.154,0,-17.54,-32.0,False,0
J03WQQ,2,0:25:15.160000,DFL-OBJ-0028HW,DFL-OBJ-J01KJ5,1.8216750533506254,28.707194866358467,19.52,20.16,0.2023867642335453,5.279412846141133,3,4.390000000000001,23.95,0.5163796936559548,-1.4354440998943214,0.0433949269522029,5.400981392302701,5,0.25,0,-28.55,-29.61,False,0
J03WQQ,2,0:25:52.320000,DFL-OBJ-J01HCH,DFL-OBJ-002G5J,4.878903565351544,11.27789169792403,12.59,23.32,3.1420085071989567,18.142108477241557,0,19.869999999999997,53.63,3.360398589564249,-0.934615138468442,1.3555443076635108,19.712168830445826,1,1.099,1,1.13,14.13,False,0
J03WQQ,2,0:25:59.480000,DFL-OBJ-J01HCH,DFL-OBJ-002G5J,4.9764344665633855,58.80904736425677,9.45,8.17,4.246577690464976,17.29076343022482,0,6.899999999999999,64.11,3.7556901317231057,1.0581340960376595,9.47456811625803,21.981978982794065,1,2.363,1,11.61,27.1,False,0
J03WQQ,2,0:26:02.880000,DFL-OBJ-002GNL,DFL-OBJ-00008K,4.918099226327179,4.618012989905384,7.6,16.03,3.5324373303478485,9.1553536250655,0,19.73,63.83,3.893824513696904,-1.2916348090941376,2.65942059098559,16.22007706516834,2,1.888,1,11.33,14.27,False,0
J03WQQ,2,0:26:06.360000,DFL-OBJ-0027W9,DFL-OBJ-002G5J,4.837561369119778,61.914157775438404,12.33,19.69,4.570617272378077,11.416479317197576,1,1.9399999999999977,47.57,4.214228509130822,1.3061140068192434,1.0401636963812668,14.011184817851774,1,5.368,1,-4.93,32.06,False,0
